Customer,Serving Date,Item,Meal,Day,Portion Size grams or each,Order Amount,Quantity to Produce/Ship,Client,Frozen,Chilled,Shipment Date
Westover,28/Jun/25,Gluten Free Chocolate Chip Cookie,Lunch Dessert R,3,1,1,1,Gluten Free,x,,23/Jun/25
Westover,1/Jul/25,Gluten Free Chocolate Chip Cookie,Dinner Dessert R,6,1,1,1,Gluten Free,x,,23/Jun/25
Westover,2/Jul/25,Gluten Free Chocolate Chip Cookie,Dinner Dessert R,7,1,1,1,Gluten Free,x,,23/Jun/25
Macey,16/Jun/25,Gluten Free Crackers,Lunch R,1,25,1,25,122 - Gluten,,,15/Jun/25
Macey,17/Jun/25,Gluten Free Crackers,Lunch R,2,25,1,25,122 - Gluten,,,15/Jun/25
Macey,18/Jun/25,Gluten Free Crackers,Lunch R,3,25,1,25,122 - Gluten,,,15/Jun/25
Westover,26/Jun/25,Gluten Free Crackers,Snack R,1,25,1,25,Gluten Free,,x,23/Jun/25
Macey,19/Jun/25,Gluten Free Crackers,Lunch R,4,25,1,25,122 - Gluten,,,18/Jun/25
Westover,28/Jun/25,Gluten Free Crackers,Snack R,3,25,1,25,Gluten Free,,x,23/Jun/25
Westover,29/Jun/25,Gluten Free Crackers,Snack R,4,25,1,25,Gluten Free,,x,23/Jun/25
Westover,30/Jun/25,Gluten Free Crackers,Snack R,5,25,1,25,Gluten Free,,x,23/Jun/25
Westover,30/Jun/25,Gluten Free Crackers,Snack R,5,25,1,25,Gluten Free,,x,23/Jun/25
Westover,2/Jul/25,Gluten Free Crackers,Snack R,7,25,1,25,Gluten Free,,x,23/Jun/25
Macey,20/Jun/25,Gluten Free Crackers,Lunch R,5,25,1,25,122 - Gluten,,,18/Jun/25
Macey,21/Jun/25,Gluten Free Crackers,Lunch R,6,25,1,25,122 - Gluten,,,20/Jun/25
Macey,22/Jun/25,Gluten Free Crackers,Lunch R,7,25,1,25,122 - Gluten,,,20/Jun/25
Westover,26/Jun/25,Gluten Free Granola Bar,Dinner Dessert R,1,1,1,1,Gluten Free,,x,23/Jun/25
Westover,27/Jun/25,Gluten Free Granola Bar,Snack R,2,1,1,1,Gluten Free,,x,23/Jun/25
Westover,2/Jul/25,Gluten Free Granola Bar,Lunch Dessert R,7,1,1,1,Gluten Free,,x,23/Jun/25
Curlew,20/Jun/25,Gluten Free Granola Bar,AM Snack,5,1,35,35,,,x,19/Jun/25
Westover,26/Jun/25,Gluten Free Granola Minis,Snack R,1,1,1,1,Gluten Free,,x,23/Jun/25
Westover,27/Jun/25,Gluten Free Granola Minis,Snack R,2,1,1,1,Gluten Free,,x,23/Jun/25
Westover,1/Jul/25,Gluten Free Granola Minis,Snack R,6,1,1,1,Gluten Free,,x,23/Jun/25
Westover,28/Jun/25,Goldfish Crackers,Snack,3,1,23,23,,,x,23/Jun/25
Westover,30/Jun/25,Goldfish Crackers,Snack,5,1,42,42,,,x,23/Jun/25
Curlew,17/Jun/25,Granola,AM Snack,2,25,35,875,,,x,16/Jun/25
MIYM,27/Jun/25,Granola,Snack,,25,8,200,,,x,23/Jun/25
Curlew,19/Jun/25,Granola,PM Snack,4,25,35,875,,,x,19/Jun/25
Westover,1/Jul/25,Grape Tomatoes,Snack,6,40,43,1720,,,x,23/Jun/25
Westover,2/Jul/25,Green Beans,Dinner,7,100,43,4300,,x,,23/Jun/25
RH Saturday CHATS,21/Jun/25,Green Beans,Lunch,,75,10,750,,,,18/Jun/25
Vaughan CHATS,20/Jun/25,Green Beans,Lunch,,75,50,3750,,,,18/Jun/25
Curlew,20/Jun/25,Green Beans,Lunch,5,105,40,4200,,,Hot,20/Jun/25
Richmond Hill CHATS,20/Jun/25,Green Beans,Lunch,,75,19,1425,,,,18/Jun/25
Macey,22/Jun/25,Green Beans,Dinner,7,100,25,2500,,,,20/Jun/25
Ying's,30/Jun/25,Green Beans,Lunch,,75,6,600,,x,,23/Jun/25
MIYM,30/Jun/25,Green Beans,Lunch,,75,8,600,,x,,23/Jun/25
Bradford CHATS,20/Jun/25,Green Beans,Lunch,,75,17,1275,,,,18/Jun/25
Aurora CHATS,20/Jun/25,Green Beans,Lunch,,75,18,1350,,,,18/Jun/25
Dovercourt,22/Jun/25,Green Beans,Dinner,7,100,25,2500,,,,20/Jun/25
Dovercourt,18/Jun/25,Ham Slices,Lunch,3,70,25,1750,,,,15/Jun/25
Macey,18/Jun/25,Ham Slices,Lunch,3,70,23,1610,,,,15/Jun/25
Westover,2/Jul/25,Ham Slices,Lunch,7,70,43,3010,,,x,23/Jun/25
Ying's,25/Jun/25,Hamburger Bun,Lunch,,1,6,7,,,x,23/Jun/25
MIYM,25/Jun/25,Hamburger Bun,Lunch,,1,7,7,,,x,23/Jun/25
Curlew,17/Jun/25,Hamburger Bun,Lunch,2,1,40,40,,,x,17/Jun/25
Vaughan CHATS,17/Jun/25,Hamburger Bun,Lunch,,1,50,50,,,,16/Jun/25
Bradford CHATS,17/Jun/25,Hamburger Bun,Lunch,,1,21,21,,,,16/Jun/25
Richmond Hill CHATS,17/Jun/25,Hamburger Bun,Lunch,,1,0,0,,,,16/Jun/25
Dovercourt,17/Jun/25,Hamburger Bun,Dinner,2,1,25,25,,,,15/Jun/25
Macey,17/Jun/25,Hamburger Bun,Dinner,2,1,23,23,,,,15/Jun/25
Westover,27/Jun/25,Hamburger Bun,Dinner,2,1,42,42,,,x,23/Jun/25
Aurora CHATS,17/Jun/25,Hamburger Bun,Lunch,,1,25,25,,,,16/Jun/25
Westover,1/Jul/25,Hamburger Bun,Dinner,6,1,42,42,,,x,23/Jun/25
Macey,21/Jun/25,Hamburger Bun,Dinner,6,1,23,23,,,,20/Jun/25
Dovercourt,21/Jun/25,Hamburger Bun,Dinner,6,1,25,25,,,,20/Jun/25
Westover,27/Jun/25,Hardboiled Egg,Breakfast,2,2,43,86,,,x,23/Jun/25
Dovercourt,16/Jun/25,Harvest Vegetable Soup,Lunch,1,250,25,6250,,,,15/Jun/25
Macey,16/Jun/25,Harvest Vegetable Soup,Lunch,1,250,25,6250,,,,15/Jun/25
Dovercourt,17/Jun/25,Harvest Vegetable Soup,Lunch R,2,250,1,250,"375 - Dairy, Fish",,,15/Jun/25
Macey,17/Jun/25,Harvest Vegetable Soup,Lunch R,2,250,1,250,253 -  Dairy,,,15/Jun/25
Westover,26/Jun/25,Harvest Vegetable Soup,Lunch,1,250,43,10750,,x,,23/Jun/25
Westover,2/Jul/25,Harvest Vegetable Soup,Lunch R,7,250,1,250,Gluten Free,x,,23/Jun/25
Macey,21/Jun/25,Harvest Vegetable Soup,Lunch R,6,250,1,250,253 - Dairy,,,20/Jun/25
Dovercourt,21/Jun/25,Harvest Vegetable Soup,Lunch R,6,250,1,250,"375 - Dairy, Fish",,,20/Jun/25
Macey,22/Jun/25,Harvest Vegetable Soup,Lunch R,7,250,1,250,122 - Gluten,,,20/Jun/25
Curlew,19/Jun/25,Homo Milk Carton,Beverage,4,1,1,1,,,x,19/Jun/25
Vaughan CHATS,17/Jun/25,Honeydew Melon,Lunch,,0.07,50,3.5,,,,16/Jun/25
Bradford CHATS,17/Jun/25,Honeydew Melon,Lunch,,0.07,21,1,,,,16/Jun/25
Richmond Hill CHATS,17/Jun/25,Honeydew Melon,Lunch,,0.07,0,0,,,,16/Jun/25
Ying's,27/Jun/25,Honeydew Melon,Lunch,,0.07,6,0.56,,,x,23/Jun/25
Aurora CHATS,17/Jun/25,Honeydew Melon,Lunch,,0.07,24,2,,,,16/Jun/25
Westover,30/Jun/25,Honeydew Melon,Breakfast,5,0.07,43,3.01,,,x,23/Jun/25
MIYM,27/Jun/25,Honeydew Melon,Lunch,,0.07,8,0.56,,,x,23/Jun/25
Curlew,19/Jun/25,Honeydew Melon,Lunch,4,0.07,40,2.8,,,x,19/Jun/25
Macey,16/Jun/25,Hummus,Lunch R,1,2,1,2,127 - Egg/Fish,,,15/Jun/25
Curlew,16/Jun/25,Hummus,PM Snack R,1,1,1,1,Na'ay K - Vegan,,x,16/Jun/25
MIYM,25/Jun/25,Hummus,Snack,,1,7,7,,,x,23/Jun/25
Macey,18/Jun/25,Hummus,Lunch R,3,2,1,2,127 - Egg/Fish,,,15/Jun/25
Macey,19/Jun/25,Hummus,Lunch R,4,2,1,2,386 - Vegetarian,,,18/Jun/25
Westover,26/Jun/25,Hummus,Snack,1,1,43,43,,,x,23/Jun/25
Westover,28/Jun/25,Hummus,Snack,3,1,24,24,,,x,23/Jun/25
Westover,1/Jul/25,Hummus,Snack,6,1,43,43,,,x,23/Jun/25
Westover,2/Jul/25,Hummus,Snack,7,1,43,43,,,x,23/Jun/25
Curlew,16/Jun/25,Italian Mixed Vegetables,Lunch,1,105,40,4200,,,Hot,16/Jun/25
MIYM,24/Jun/25,Italian Mixed Vegetables,Lunch,,75,8,600,,x,,23/Jun/25
Ying's,24/Jun/25,Italian Mixed Vegetables,Lunch,,75,6,600,,x,,23/Jun/25
Richmond Hill CHATS,16/Jun/25,Italian Mixed Vegetables,Lunch,,75,20,1500,,,,16/Jun/25
Bradford CHATS,16/Jun/25,Italian Mixed Vegetables,Lunch,,75,17,1275,,,,16/Jun/25
Vaughan CHATS,16/Jun/25,Italian Mixed Vegetables,Lunch,,75,30,2250,,,,16/Jun/25
Aurora CHATS,16/Jun/25,Italian Mixed Vegetables,Lunch,,75,20,1500,,,,16/Jun/25
Dovercourt,16/Jun/25,Italian Mixed Vegetables,Dinner,1,100,25,2500,,,,15/Jun/25
Macey,16/Jun/25,Italian Mixed Vegetables,Dinner,1,100,25,2500,,,,15/Jun/25
Westover,26/Jun/25,Italian Mixed Vegetables,Dinner,1,100,43,4300,,x,,23/Jun/25
Westover,Daily,Jam,Breakfast,Daily,1,0,0,,,x,23/Jun/25
Westover,30/Jun/25,Jasmine Rice,Dinner,5,140,43,6020,,x,,23/Jun/25
Macey,20/Jun/25,Jasmine Rice,Dinner,5,140,25,3500,,,,18/Jun/25
Dovercourt,20/Jun/25,Jasmine Rice,Dinner,5,140,25,3500,,,,18/Jun/25
Dovercourt,16/Jun/25,Ketchup,Condiment,1,1,1,1,,,,15/Jun/25
Macey,16/Jun/25,Ketchup,Condiment,1,1,1,1,,,,15/Jun/25
RH Saturday CHATS,21/Jun/25,Legume Stew,Lunch R,,170,1,170,Garry - Vegetarian - no m/f,,,18/Jun/25
Macey,22/Jun/25,Legume Stew,Dinner R,7,250,1,250,386 - Vegetarian,,,20/Jun/25
Vaughan CHATS,20/Jun/25,Legume Stew,Lunch R,,170,1,170,Davender K - Vegetarian - no meat/fish,,,18/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Amelia H - Vegetarian m,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Ayzal A - Halal,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Demetre A - Halal,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Fatima H - Halal,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Hameem A - Halal,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Laya S - Vegetarian m/f,,x,20/Jun/25
Vaughan CHATS,20/Jun/25,Legume Stew,Lunch R,,170,1,170,Kalash V. - Vegetarian - no meat/fish,,,18/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Maryam D - Vegetarian m,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Mikaeel H - Vegetarian m,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Na'ay K - Vegan,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Ruqayyan M - Vegetarian m,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Tarasha K - Vegetarian m/f,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Virat T - Vegetarian m/f,,x,20/Jun/25
Vaughan CHATS,20/Jun/25,Legume Stew,Lunch R,,170,1,170,Lashmi. - Vegetarian - no meat,,,18/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Yusuf M - Vegetarian m,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Zain M - Halal,,x,20/Jun/25
Curlew,20/Jun/25,Legume Stew,Lunch R,5,187.5,1,187.5,Zinara K - Halal,,x,20/Jun/25
Richmond Hill CHATS,20/Jun/25,Legume Stew,Lunch R,,170,1,170,Yeshembet- Vegan,,,18/Jun/25
Vaughan CHATS,20/Jun/25,Legume Stew,Lunch R,,170,1,170,Maria B. - Vegetarian - no meat,,,18/Jun/25
Ying's,27/Jun/25,Lentil and Sweet Potato Casserole,Lunch,,170,6,1360,,x,,23/Jun/25
MIYM,27/Jun/25,Lentil and Sweet Potato Casserole,Lunch,,170,8,1360,,x,,23/Jun/25
Curlew,19/Jun/25,Lentil and Sweet Potato Casserole,Lunch,4,105,40,4200,,,Hot,19/Jun/25
Richmond Hill CHATS,19/Jun/25,Lentil and Sweet Potato Casserole,Lunch,,170,19,3230,,,,18/Jun/25
Vaughan CHATS,19/Jun/25,Lentil and Sweet Potato Casserole,Lunch,,170,50,8500,,,,18/Jun/25
Bradford CHATS,19/Jun/25,Lentil and Sweet Potato Casserole,Lunch,,170,17,2890,,,,18/Jun/25
Aurora CHATS,19/Jun/25,Lentil and Sweet Potato Casserole,Lunch,,170,23,3910,,,,18/Jun/25
Macey,18/Jun/25,Lentil Soup,Lunch,3,250,25,6250,,,,15/Jun/25
Dovercourt,18/Jun/25,Lentil Soup,Lunch,3,250,25,6250,,,,15/Jun/25
Westover,29/Jun/25,Lentil Soup,Lunch,4,250,43,10750,,x,,23/Jun/25
Westover,28/Jun/25,Lentil Soup,Lunch R,7,250,1,250,Gluten Free,x,,23/Jun/25
Dovercourt,16/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,1,0.06,25,1.5,,,,15/Jun/25
Macey,16/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,1,0.06,25,1.5,,,,15/Jun/25
Dovercourt,17/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,2,0.06,25,1.5,,,,15/Jun/25
Macey,17/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,2,0.06,25,1.5,,,,15/Jun/25
Richmond Hill CHATS,17/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,,0.06,0,0.0,,,,16/Jun/25
Vaughan CHATS,17/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,,0.06,50,2.9,,,,16/Jun/25
Bradford CHATS,17/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,,0.06,21,1.2,,,,16/Jun/25
Macey,19/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,4,0.06,25,1.5,,,,18/Jun/25
Aurora CHATS,17/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,,0.06,25,1.5,,,,16/Jun/25
Westover,26/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,1,0.06,43,2.5,,x,,23/Jun/25
Macey,20/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,5,0.06,25,1.5,,,,18/Jun/25
Dovercourt,19/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,4,0.06,25,1.5,,,,18/Jun/25
Westover,29/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,4,0.06,43,2.5,,,x,23/Jun/25
Westover,1/Jul/25,Lettuce - Whole (1 = 17 servings),Dinner,6,0.06,43,2.5,,,x,23/Jun/25
Dovercourt,20/Jun/25,Lettuce - Whole (1 = 17 servings),Lunch,5,0.06,25,1.5,,,,18/Jun/25
Macey,21/Jun/25,Lettuce - Whole (1 = 17 servings),Dinner,6,0.06,25,1.5,,,,20/Jun/25
Dovercourt,21/Jun/25,Lettuce - Whole (1 = 17 servings),Dinner,6,0.06,25,1.5,,,,20/Jun/25
Dovercourt,17/Jun/25,Lettuce Leaf,Dinner R,2,10,1,10.0,"375 - Dairy, Fish",,,15/Jun/25
Macey,17/Jun/25,Lettuce Leaf,Dinner R,2,10,1,10.0,253 -  Dairy,,,15/Jun/25
Curlew,16/Jun/25,Maple Snaps,PM Snack,1,25,35,875,,,x,16/Jun/25
Westover,26/Jun/25,Marble/Vanilla Loaf,Dinner Dessert,1,0.2,0,0,,x,,23/Jun/25
Westover,28/Jun/25,Marble/Vanilla Loaf,Lunch Dessert,3,0.2,0,0,,x,,23/Jun/25
Westover,2/Jul/25,Marble/Vanilla Loaf,Lunch Dessert,7,0.2,0,0,,x,,23/Jun/25
Dovercourt,16/Jun/25,Margarine,Condiment,1,1,1,1,,,,15/Jun/25
Macey,16/Jun/25,Margarine,Condiment,1,1,1,1,,,,15/Jun/25
Dovercourt,16/Jun/25,Mayonnaise,Condiment,1,1,1,1,,,,15/Jun/25
Macey,16/Jun/25,Mayonnaise,Condiment,1,1,1,1,,,,15/Jun/25
Westover,2/Jul/25,Minestrone Soup,Lunch,7,250,42,10500,,x,,23/Jun/25
Dovercourt,22/Jun/25,Minestrone Soup,Lunch,7,250,25,6250,,,,20/Jun/25
Macey,22/Jun/25,Minestrone Soup,Lunch,7,250,23,5750,,,,20/Jun/25
Westover,2/Jul/25,Mini Cucumber,Snack,7,2,43,86,,,x,23/Jun/25
Westover,27/Jun/25,Mocha Mousse Cake,Dinner Dessert,2,1,42,42,,x,,23/Jun/25
Macey,18/Jun/25,MultiGrain Bread,Lunch,3,2,23,46,,,,15/Jun/25
Dovercourt,18/Jun/25,MultiGrain Bread,Lunch,3,2,25,50,,,,15/Jun/25
Dovercourt,18/Jun/25,No Substitution - Cheese,Lunch R,3,0,1,0,"375 - Dairy, Fish",,,15/Jun/25
Macey,18/Jun/25,No Substitution - Cheese,Lunch R,3,0,1,0,253 - Dairy,,,15/Jun/25
Curlew,17/Jun/25,Nut Free Butter,PM Snack R,2,1,1,1,Na'ay K - Vegan,,x,17/Jun/25
Westover,30/Jun/25,Nut Free Butter,Snack,5,1,0,0,,,x,23/Jun/25
Westover,2/Jul/25,Nut Free Butter,Breakfast,7,1,0,0,,,x,23/Jun/25
Westover,2/Jul/25,Nut Free Butter,Snack,7,1,0,0,,,x,23/Jun/25
Curlew,20/Jun/25,Oatmeal Cookie,PM Snack,5,1,35,35,,,x,20/Jun/25
MIYM,30/Jun/25,Oatmeal Cookie,Snack,,1,8,8,,x,,23/Jun/25
Curlew,23/Jun/25,Oatmeal Cookie,AM Snack R,1,2,1,2,Na'ay K - Vegan,,x,20/Jun/25
Westover,26/Jun/25,Oatmeal Raisin Cookie,Snack,1,2,43,86,,,x,23/Jun/25
Westover,28/Jun/25,Oatmeal Raisin Cookie,Snack,3,2,24,48,,,x,23/Jun/25
MIYM,26/Jun/25,Orange,Snack,,0.5,9,4.5,,,x,23/Jun/25
Bradford CHATS,18/Jun/25,Orange,Lunch,,1,21,21,,,,16/Jun/25
Richmond Hill CHATS,18/Jun/25,Orange,Lunch,,1,17,17,,,,16/Jun/25
Vaughan CHATS,18/Jun/25,Orange,Lunch,,1,50,50,,,,16/Jun/25
Curlew,18/Jun/25,Orange,PM Snack,3,1,35,35,,,x,18/Jun/25
Westover,26/Jun/25,Orange,Snack,1,1,43,43,,,x,23/Jun/25
Westover,1/Jul/25,Orange,Breakfast,6,0.5,43,21.5,,,x,23/Jun/25
Aurora CHATS,18/Jun/25,Orange,Lunch,,1,0,0,,,,16/Jun/25
Westover,30/Jun/25,Organic Gluten Free Granola Bar,Snack,5,1,43,43,,,x,23/Jun/25
Westover,1/Jul/25,Organic Gluten Free Granola Bar,Snack,6,1,43,43,,,x,23/Jun/25
Westover,29/Jun/25,Organic Gluten Free Granola Minis,Snack,4,1,43,43,,,x,23/Jun/25
Westover,2/Jul/25,Organic Gluten Free Granola Minis,Snack,7,1,43,43,,,x,23/Jun/25
Westover,30/Jun/25,Peach Berry Crumble,Lunch Dessert,5,1,42,42,,x,,23/Jun/25
Westover,28/Jun/25,Pear,Breakfast,3,0.5,24,12,,,x,23/Jun/25
Macey,19/Jun/25,Peas and Carrots,Dinner,4,100,25,2500,,,,18/Jun/25
Ying's,27/Jun/25,Peas and Carrots,Lunch,,75,6,600,,x,,23/Jun/25
Dovercourt,19/Jun/25,Peas and Carrots,Dinner,4,100,25,2500,,,,18/Jun/25
MIYM,27/Jun/25,Peas and Carrots,Lunch,,75,8,600,,x,,23/Jun/25
Westover,29/Jun/25,Peas and Carrots,Dinner,4,100,43,4300,,x,,23/Jun/25
Curlew,19/Jun/25,Peas and Carrots,Lunch,4,75,40,3000,,,Hot,19/Jun/25
Bradford CHATS,19/Jun/25,Peas and Carrots,Lunch,,75,17,1275,,,,18/Jun/25
Vaughan CHATS,19/Jun/25,Peas and Carrots,Lunch,,75,50,3750,,,,18/Jun/25
Aurora CHATS,19/Jun/25,Peas and Carrots,Lunch,,75,24,1800,,,,18/Jun/25
Westover,1/Jul/25,Peas and Corn,Dinner,6,100,43,4300,,x,,23/Jun/25
Macey,21/Jun/25,Peas and Corn,Dinner,6,100,25,2500,,,,20/Jun/25
Dovercourt,21/Jun/25,Peas and Corn,Dinner,6,100,25,2500,,,,20/Jun/25
Macey,18/Jun/25,Penne Pasta,Dinner,3,140,23,3220,,,,15/Jun/25
Ying's,26/Jun/25,Penne Pasta,Lunch,,100,6,900,,x,,23/Jun/25
MIYM,26/Jun/25,Penne Pasta,Lunch,,100,9,900,,x,,23/Jun/25
Dovercourt,18/Jun/25,Penne Pasta,Dinner,3,140,25,3500,,,,15/Jun/25
Curlew,18/Jun/25,Penne Pasta,Lunch,3,105,40,4200,,,hot,18/Jun/25
Vaughan CHATS,18/Jun/25,Penne Pasta,Lunch,,90,50,4500,,,,16/Jun/25
Richmond Hill CHATS,18/Jun/25,Penne Pasta,Lunch,,90,17,1530,,,,16/Jun/25
Bradford CHATS,18/Jun/25,Penne Pasta,Lunch,,90,21,1890,,,,16/Jun/25
Westover,28/Jun/25,Penne Pasta,Dinner,3,140,24,3360,,x,,23/Jun/25
Aurora CHATS,18/Jun/25,Penne Pasta,Lunch,,90,0,0,,,,16/Jun/25
Aurora CHATS,19/Jun/25,Penne Pasta,Lunch R,,100,1,100,"Bill C. - Rice, Lettuce, Leafy Greens, Spinach",,,18/Jun/25
Aurora CHATS,19/Jun/25,Penne Pasta,Lunch R,,100,1,100,"Eileen. - Banana, Corn, Berries, Seeds, Rice, Legumes, Cucumber, Peas, Tomato",,,18/Jun/25
Westover,27/Jun/25,Plain Bagel,Breakfast,2,1,42,42,,,x,23/Jun/25
Westover,1/Jul/25,Potato Salad - Dressing,Lunch,6,10,43,430,,,x,23/Jun/25
Westover,1/Jul/25,Potato Salad - Vegetables,Lunch,6,90,43,3870,,,x,23/Jun/25
Dovercourt,16/Jun/25,Roast Beef,Lunch,1,90,25,2250,,,,15/Jun/25
Macey,16/Jun/25,Roast Beef,Lunch,1,90,23,2070,,,,15/Jun/25
Dovercourt,17/Jun/25,Rye,Lunch,2,2,25,50,,,,15/Jun/25
Macey,17/Jun/25,Rye,Lunch,2,2,23,46,,,,15/Jun/25
Westover,2/Jul/25,Rye Bread,Lunch,7,2,42,84,,,x,23/Jun/25
Dovercourt,22/Jun/25,Rye Bread,Lunch,7,2,25,50,,,,20/Jun/25
Macey,22/Jun/25,Rye Bread,Lunch,7,2,23,46,,,,20/Jun/25
Dovercourt,16/Jun/25,Saltine Crackers,Lunch,1,2,25,50,,,,15/Jun/25
Macey,16/Jun/25,Saltine Crackers,Lunch,1,2,23,46,,,,15/Jun/25
Dovercourt,17/Jun/25,Saltine Crackers,Lunch,2,2,25,50,,,,15/Jun/25
Macey,17/Jun/25,Saltine Crackers,Lunch,2,2,23,46,,,,15/Jun/25
Macey,18/Jun/25,Saltine Crackers,Lunch,3,2,23,46,,,,15/Jun/25
Macey,19/Jun/25,Saltine Crackers,Lunch,4,2,23,46,,,,18/Jun/25
Dovercourt,18/Jun/25,Saltine Crackers,Lunch,3,2,25,50,,,,15/Jun/25
Macey,20/Jun/25,Saltine Crackers,Lunch,5,2,23,46,,,,18/Jun/25
Dovercourt,19/Jun/25,Saltine Crackers,Lunch,4,2,25,50,,,,18/Jun/25
Dovercourt,20/Jun/25,Saltine Crackers,Lunch,5,2,25,50,,,,18/Jun/25
Westover,26/Jun/25,Saltine Crackers,Lunch,1,2,0,0,,,x,23/Jun/25
Westover,28/Jun/25,Saltine Crackers,Lunch,3,2,0,0,,,x,23/Jun/25
Westover,29/Jun/25,Saltine Crackers,Lunch,4,2,0,0,,,x,23/Jun/25
Macey,21/Jun/25,Saltine Crackers,Lunch,6,2,23,46,,,,20/Jun/25
Dovercourt,21/Jun/25,Saltine Crackers,Lunch,6,2,25,50,,,,20/Jun/25
Westover,2/Jul/25,Saltine Crackers,Lunch,7,2,0,0,,,x,23/Jun/25
Dovercourt,22/Jun/25,Saltine Crackers,Lunch,7,2,25,50,,,,20/Jun/25
Macey,22/Jun/25,Saltine Crackers,Lunch,7,2,23,46,,,,20/Jun/25
MIYM,26/Jun/25,Spice Snap Biscuit,Snack,,2,9,18,,,x,23/Jun/25
Curlew,18/Jun/25,Spice Snap Biscuit,PM Snack,3,3,35,105,,,x,18/Jun/25
Westover,26/Jun/25,Spice Snap Biscuit,Snack,1,3,42,126,,,x,23/Jun/25
Westover,30/Jun/25,Spice Snap Biscuit,Snack,5,3,42,126,,,x,23/Jun/25
Westover,30/Jun/25,Strawberry Applesauce,Lunch Dessert R,5,1,1,1,Gluten Free,,x,23/Jun/25
Aurora CHATS,18/Jun/25,Strawberry Applesauce,Lunch R,,1,0,0,"Elaine C. - Tomato, Orange, Pork",,,16/Jun/25
Westover,1/Jul/25,Strawberry Applesauce,Lunch Dessert R,6,1,1,1,Gluten Free,,x,23/Jun/25
Curlew,20/Jun/25,Strawberry Applesauce,AM Snack R,5,1,1,1,Na'ay K - Vegan,,x,19/Jun/25
Macey,20/Jun/25,Sub Bun,Lunch,5,1,23,23,,,,18/Jun/25
Dovercourt,20/Jun/25,Sub Bun,Lunch,5,1,25,25,,,,18/Jun/25
Westover,29/Jun/25,Sub Bun,Lunch,4,1.0,43,43,,,x,23/Jun/25
Macey,18/Jun/25,Swiss Cheese,Lunch,3,1,23,23,,,,15/Jun/25
Dovercourt,18/Jun/25,Swiss Cheese,Lunch,3,1,24,24,,,,15/Jun/25
Westover,2/Jul/25,Swiss Cheese 14g,Lunch,7,2,43,86,,,x,23/Jun/25
Westover,29/Jun/25,Tiramisu Cake,Dinner Dessert,4,1,42,42,,x,,23/Jun/25
Dovercourt,16/Jun/25,Tofu and Gluten Free Pasta - no dairy,Dinner R,1,250,1,250,"375 - Dairy, Fish",,,15/Jun/25
Macey,16/Jun/25,Tofu and Gluten Free Pasta - no dairy,Dinner R,1,250,1,250,122 - Gluten,,,15/Jun/25
Macey,16/Jun/25,Tofu and Gluten Free Pasta - no dairy,Dinner R,1,250,1,250,253 - Dairy,,,15/Jun/25
Aurora CHATS,19/Jun/25,Tofu and Sweet Potato Casserole,Lunch R,,170,1,170,"Eileen. - Banana, Corn, Berries, Seeds, Rice, Legumes, Cucumber, Peas, Tomato",,,18/Jun/25
Dovercourt,16/Jun/25,Tofu Bowtie Pasta and Vegetables,Dinner,1,250,24,6000,,,,15/Jun/25
Macey,16/Jun/25,Tofu Bowtie Pasta and Vegetables,Dinner,1,250,22,5500,,,,15/Jun/25
